fill	x	y	tooltip	clickSelects	PANEL	xmin	xmax	ymin	ymax	colour	size
#FFFFFF	0.5	0.102272727272727	( 0 ,  Inf )	px=0; pz=0.7	16	0.44949494949495	0.55050505050505	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FCFAFA	0.5	0.215909090909091	( 0.76 ,  48.46 )	px=0; pz=1.2	16	0.44949494949495	0.55050505050505	0.159090909090909	0.272727272727273	#FCFAFA	0
#913E3E	0.5	0.329545454545455	( 2.1 ,  3.36 )	px=0; pz=1.7	16	0.44949494949495	0.55050505050505	0.272727272727273	0.386363636363636	#913E3E	0
#F9F4F4	0.5	0.443181818181818	( 1.01 ,  1.05 )	px=0; pz=2.2	16	0.44949494949495	0.55050505050505	0.386363636363636	0.5	#F9F4F4	0
#FDFCFC	0.5	0.556818181818182	( 1 ,  1.02 )	px=0; pz=2.7	16	0.44949494949495	0.55050505050505	0.5	0.613636363636364	#FDFCFC	0
#F6EFEF	0.5	0.670454545454545	( 0.97 ,  1.13 )	px=0; pz=3.2	16	0.44949494949495	0.55050505050505	0.613636363636364	0.727272727272727	#F6EFEF	0
#F3F3F9	0.5	0.784090909090909	( 0.06 ,  1.31 )	px=0; pz=3.7	16	0.44949494949495	0.55050505050505	0.727272727272727	0.840909090909091	#F3F3F9	0
#FFFFFF	0.5	0.897727272727273	( 0 ,  Inf )	px=0; pz=4.2	16	0.44949494949495	0.55050505050505	0.840909090909091	0.954545454545454	#FFFFFF	0
#FEFEFE	0.601010101010101	0.102272727272727	( 0 ,  Inf )	px=0.5; pz=0.7	16	0.55050505050505	0.651515151515151	0.0454545454545455	0.159090909090909	#FEFEFE	0
#FEFDFD	0.601010101010101	0.215909090909091	( 0.32 ,  10.82 )	px=0.5; pz=1.2	16	0.55050505050505	0.651515151515151	0.159090909090909	0.272727272727273	#FEFDFD	0
#B88282	0.601010101010101	0.329545454545455	( 1.5 ,  2.18 )	px=0.5; pz=1.7	16	0.55050505050505	0.651515151515151	0.272727272727273	0.386363636363636	#B88282	0
#FBF7F7	0.601010101010101	0.443181818181818	( 0.99 ,  1.05 )	px=0.5; pz=2.2	16	0.55050505050505	0.651515151515151	0.386363636363636	0.5	#FBF7F7	0
#FCF9F9	0.601010101010101	0.556818181818182	( 0.99 ,  1.04 )	px=0.5; pz=2.7	16	0.55050505050505	0.651515151515151	0.5	0.613636363636364	#FCF9F9	0
#F0E4E4	0.601010101010101	0.670454545454545	( 0.95 ,  1.27 )	px=0.5; pz=3.2	16	0.55050505050505	0.651515151515151	0.613636363636364	0.727272727272727	#F0E4E4	0
#FBFBFC	0.601010101010101	0.784090909090909	( 0.04 ,  2.67 )	px=0.5; pz=3.7	16	0.55050505050505	0.651515151515151	0.727272727272727	0.840909090909091	#FBFBFC	0
#FFFFFF	0.601010101010101	0.897727272727273	( 0 ,  Inf )	px=0.5; pz=4.2	16	0.55050505050505	0.651515151515151	0.840909090909091	0.954545454545454	#FFFFFF	0
#FEFEFE	0.702020202020202	0.102272727272727	( 0 ,  Inf )	px=1; pz=0.7	16	0.651515151515151	0.752525252525252	0.0454545454545455	0.159090909090909	#FEFEFE	0
#FEFEFE	0.702020202020202	0.215909090909091	( 0 ,  Inf )	px=1; pz=1.2	16	0.651515151515151	0.752525252525252	0.159090909090909	0.272727272727273	#FEFEFE	0
#EFE2E2	0.702020202020202	0.329545454545455	( 0.98 ,  2.86 )	px=1; pz=1.7	16	0.651515151515151	0.752525252525252	0.272727272727273	0.386363636363636	#EFE2E2	0
#AEAED4	0.702020202020202	0.443181818181818	( 0.45 ,  0.74 )	px=1; pz=2.2	16	0.651515151515151	0.752525252525252	0.386363636363636	0.5	#AEAED4	0
#A6A6D0	0.702020202020202	0.556818181818182	( 0.39 ,  0.72 )	px=1; pz=2.7	16	0.651515151515151	0.752525252525252	0.5	0.613636363636364	#A6A6D0	0
#F0F0F7	0.702020202020202	0.670454545454545	( 0.33 ,  1.48 )	px=1; pz=3.2	16	0.651515151515151	0.752525252525252	0.613636363636364	0.727272727272727	#F0F0F7	0
#FFFFFF	0.702020202020202	0.784090909090909	( 0 ,  Inf )	px=1; pz=3.7	16	0.651515151515151	0.752525252525252	0.727272727272727	0.840909090909091	#FFFFFF	0
#FFFFFF	0.702020202020202	0.897727272727273	( 0 ,  Inf )	px=1; pz=4.2	16	0.651515151515151	0.752525252525252	0.840909090909091	0.954545454545454	#FFFFFF	0
#FFFFFF	0.803030303030303	0.102272727272727	( 0 ,  Inf )	px=1.5; pz=0.7	16	0.752525252525252	0.853535353535353	0.0454545454545455	0.159090909090909	#FFFFFF	0
